RESPID,QD2_PoliticalAffiliation,QD2A_PoliticalLean,QC3_ClintonEmailAwareness,QC4_ClintonEmailIntent,QC5_ClintonEmailHonesty,QC6_BenghaziCommittee,QC7_TiredofEmails,QB1_ObamaApproval,QB2_CongressApprove,QB3_CountryDirection,QB4_TradeAgreements,QB5_TradeAgreementAwareness,QB6_TradeAgreementOpinion,QB7_NaftaOpinion,QD3_PoliticalViews,QD3A_TeaParty,QD4_Education,QD5_Age,QD5A_AgeRange,QD6_Children,QD7_HispanicLatino,QD8_WhiteBlackAsian,QD9_Income,QD10_Gender
5224,3,1,1,1,2,1,2,2,2,2,2,2,4,3,5,1,5,47,,2,2,1,2,1
4252,2,,1,2,1,1,1,1,1,1,1,2,4,3,3,3,7,38,,1,1,4,4,2
2971,2,,1,2,9,2,1,1,2,2,3,1,2,4,1,5,7,65,,2,2,1,3,1
2887,1,,1,1,2,2,1,2,2,1,1,2,4,4,4,3,7,24,,2,2,3,2,1
5256,1,,2,2,2,1,1,1,9,2,2,2,4,1,3,2,3,55,,2,2,1,3,1
1872,2,,2,9,2,1,1,1,2,1,2,2,2,4,2,3,6,27,,2,2,1,1,1
4117,3,2,1,2,1,2,1,1,2,1,1,2,1,1,1,5,8,78,,2,2,1,4,1
5255,2,,1,1,2,1,2,1,2,2,2,2,2,2,3,5,5,80,,2,2,1,2,1
608,1,,1,1,2,1,1,1,9,9,3,2,4,4,2,3,3,53,,2,2,1,1,1
4395,1,,1,1,2,1,2,2,2,2,3,2,4,1,3,2,7,50,,2,2,1,1,1
3775,1,,1,1,2,1,2,2,1,2,2,2,2,2,4,3,7,74,,2,2,1,3,2
2411,3,9,1,2,1,2,1,1,9,2,3,3,4,4,5,9,3,73,,2,2,1,2,2
880,2,,2,1,2,2,1,1,2,2,1,2,2,1,3,3,3,56,,2,2,2,2,1
63,1,,1,1,2,1,2,2,2,2,2,2,2,3,2,3,3,20,,2,2,2,2,1
281,2,,3,2,2,2,1,1,2,2,1,1,1,1,3,5,8,33,,1,2,1,4,1
657,3,2,2,2,2,2,1,1,1,2,3,3,4,1,1,9,3,18,,2,2,1,2,1
319,3,3,1,1,1,2,1,9,9,1,1,2,4,1,9,9,9,52,,2,2,3,4,1
861,1,,2,2,2,2,1,1,2,2,3,3,4,3,2,3,3,18,,2,1,9,1,2
797,4,2,2,2,2,3,2,1,2,2,3,2,4,3,3,4,7,32,,2,2,1,3,1
1815,3,9,1,1,9,1,1,9,9,2,1,3,4,3,9,3,3,19,,2,2,1,8,1
2568,3,1,1,1,2,1,2,2,2,2,3,2,4,1,4,1,7,99,3,2,2,9,3,2
2786,1,,1,1,2,2,1,1,2,2,3,2,4,4,3,2,3,21,,2,1,1,8,1
3086,3,2,1,2,1,2,1,1,2,1,2,1,2,2,3,5,3,45,,2,1,1,4,1
1838,4,1,2,1,2,9,2,2,2,2,4,2,4,2,4,1,7,45,,1,2,9,3,1
2667,4,1,2,2,1,2,1,2,2,2,3,3,4,4,5,3,2,44,,2,2,2,2,1
2197,1,,1,1,2,1,1,2,1,1,1,3,4,3,5,3,3,22,,2,2,1,3,1
3991,3,3,1,2,1,2,1,1,2,1,1,1,1,1,3,5,8,83,,2,2,1,4,1
3884,3,1,2,1,2,2,9,9,2,2,1,2,1,4,4,4,7,28,,2,2,2,4,1
4242,4,3,2,9,1,2,1,1,2,2,3,2,3,4,9,3,8,99,3,1,9,2,9,1
4682,2,,1,2,1,2,1,1,2,1,3,3,4,4,1,5,5,71,,2,2,2,1,2
4834,1,,1,1,2,1,2,2,9,2,3,1,3,4,9,9,9,70,,9,1,9,9,2
4914,2,,1,1,1,2,2,1,2,1,3,2,4,1,2,5,7,23,,2,2,1,3,2
5230,4,3,1,1,2,3,1,2,2,2,1,2,4,4,9,9,5,70,,2,2,1,4,2
109,4,1,2,1,9,2,2,1,2,2,3,3,4,3,4,2,2,18,,2,9,5,4,2
587,3,3,1,9,2,9,2,1,1,9,4,2,4,4,3,3,8,27,,2,2,3,2,1
5540,1,,1,1,2,1,2,2,2,2,1,1,1,1,4,3,7,64,,2,2,1,4,1
688,2,,1,2,1,2,1,1,2,1,1,1,4,1,2,5,6,81,,2,2,1,9,2
5313,9,3,1,2,1,2,1,1,2,3,3,1,4,4,3,5,8,73,,2,2,1,4,2
5363,2,,1,2,9,2,1,1,2,1,1,1,1,1,1,5,7,99,2,1,2,2,3,2
994,2,,1,2,9,2,2,1,2,2,2,2,2,2,1,5,8,65,,2,2,3,3,2
365,4,1,2,1,2,1,2,2,2,2,2,2,2,2,5,1,6,46,,1,2,1,4,2
6299,3,3,2,2,1,2,1,1,2,2,3,3,3,1,4,3,5,24,,2,2,2,2,1
3736,1,,1,1,2,1,2,2,2,2,3,2,2,3,3,1,3,67,,2,2,1,3,1
618,3,3,1,2,1,2,1,2,1,2,3,2,4,1,2,9,5,57,,2,1,4,3,1
266,2,,2,2,2,2,1,1,2,2,3,2,4,3,4,3,8,38,,1,2,1,2,2
4080,1,,1,1,2,2,1,9,2,2,2,2,4,4,4,3,7,47,,1,1,4,3,2
5119,1,,1,1,1,2,1,1,2,1,2,1,2,2,3,2,7,36,,1,2,2,4,2
6781,3,2,1,2,1,2,2,2,2,2,1,3,4,4,2,3,3,32,,1,2,1,2,2
7576,1,,1,1,2,1,2,1,2,1,3,3,4,3,3,3,7,39,,2,2,2,3,2
4279,2,,2,1,2,9,2,1,2,2,2,2,4,4,2,5,3,66,,2,2,1,1,2
3212,3,3,1,1,9,1,2,2,2,1,2,2,4,4,4,3,8,99,1,2,2,1,4,1
3629,1,,2,9,2,2,1,2,2,2,3,3,4,2,3,9,1,72,,2,2,1,3,1
1507,3,1,1,1,2,2,1,2,2,1,1,1,1,1,3,3,7,31,,2,2,1,4,1
2545,1,,1,9,2,1,2,2,2,2,1,2,1,1,5,2,7,58,,2,2,1,2,1
5258,1,,1,1,2,1,2,2,2,2,2,3,4,2,4,1,6,37,,1,2,1,4,1
501,2,,1,2,1,2,1,1,2,1,1,2,4,3,3,5,5,40,,2,2,1,3,1
1767,3,1,1,1,2,2,2,2,2,2,3,2,4,3,3,3,3,47,,2,2,1,8,1
2703,2,,2,2,1,2,1,1,2,1,3,3,4,1,3,2,7,51,,1,2,1,3,1
2750,2,,1,2,1,2,1,1,2,2,3,1,4,2,2,5,5,62,,2,2,1,4,1
3097,1,,1,2,2,2,2,2,2,2,2,2,2,2,4,5,5,68,,2,2,1,3,1
5397,1,,1,1,2,1,2,2,2,2,1,1,1,1,3,4,8,62,,2,2,1,3,1
5360,3,2,1,2,1,2,1,1,2,1,1,2,4,3,3,5,7,60,,2,2,1,4,1
441,2,,1,2,1,1,1,9,9,3,1,2,1,3,3,4,7,63,,2,2,1,4,2
1216,9,1,3,9,9,9,9,9,1,3,3,3,4,4,4,9,3,18,,2,2,3,8,1
4517,1,,1,2,9,2,2,1,9,2,2,2,4,4,4,5,3,49,,2,2,2,2,2
3201,2,,1,2,1,2,1,1,2,1,3,2,4,4,2,5,8,59,,2,2,1,4,2
5080,1,,2,1,2,9,2,2,9,2,1,3,4,1,3,4,3,53,,2,2,1,1,2
5034,3,3,1,1,2,3,1,9,2,2,2,3,2,2,3,3,5,99,3,2,2,1,2,1
4521,4,1,1,1,2,1,2,2,2,2,2,1,2,2,5,1,8,65,,2,2,1,4,1
5299,2,,1,2,2,2,1,9,2,1,3,1,4,4,3,5,8,99,2,2,2,1,4,1
5586,4,3,2,2,1,2,1,1,2,1,1,2,3,1,1,3,7,37,,2,2,1,4,1
7574,1,,1,1,2,1,2,2,2,2,2,2,4,2,4,2,5,45,,1,2,1,4,1
7581,3,1,1,1,2,2,1,2,2,2,1,2,3,3,3,3,7,43,,1,2,1,4,2
5738,3,1,2,2,2,2,1,2,2,2,3,2,2,4,4,3,8,23,,2,2,3,4,1
458,1,,1,1,2,1,2,2,1,2,1,2,4,1,3,2,7,73,,2,2,1,2,2
2428,4,3,1,2,1,2,1,1,9,1,3,2,1,4,1,3,7,58,,2,1,4,2,2
5206,3,3,1,2,1,2,1,9,2,1,3,2,4,4,3,4,3,68,,2,2,1,2,2
3512,9,3,2,2,1,9,1,1,1,1,3,3,4,4,5,2,6,18,,2,2,1,4,2
5275,1,,1,1,2,2,9,2,2,2,3,3,4,4,4,3,6,57,,2,2,1,1,2
5357,1,,1,2,2,1,1,2,9,2,3,3,4,4,5,2,5,59,,2,2,1,4,2
139,1,,1,1,2,1,2,2,2,2,3,1,4,1,5,1,5,54,,2,2,1,4,2
640,3,3,1,2,1,2,1,1,2,1,3,1,4,4,3,5,8,65,,2,2,1,9,1
2280,3,3,3,9,2,9,1,9,1,2,1,3,4,4,4,3,3,90,,2,2,1,1,2
5552,1,,1,1,2,1,2,2,1,2,1,2,3,3,4,3,7,40,,2,2,9,9,1
4505,2,,1,1,2,2,1,1,2,2,1,1,1,1,3,5,8,57,,2,2,1,3,2
274,4,3,1,1,2,1,2,2,2,2,2,2,2,1,5,3,8,99,3,2,2,1,9,1
5226,1,,2,1,2,1,2,2,2,2,3,3,4,4,5,2,8,88,,2,2,1,3,1
2908,4,3,1,9,2,9,1,1,2,1,1,2,1,1,3,4,6,55,,1,2,3,2,1
4023,1,,1,1,2,3,2,2,2,2,3,2,4,3,4,2,7,76,,2,2,1,3,1
5102,4,1,3,2,2,1,9,1,2,1,1,2,2,1,4,3,4,25,,1,2,1,2,1
341,2,,1,2,1,2,1,1,1,1,3,3,4,2,3,3,6,50,,2,2,3,1,2
1830,3,2,1,2,1,2,1,1,2,9,1,2,1,1,3,1,5,20,,2,2,1,1,2
2130,3,2,1,2,1,1,1,9,2,3,1,2,3,1,3,3,7,35,,1,2,1,4,1
3652,3,1,1,1,2,1,1,2,2,2,2,2,2,2,4,2,7,29,,2,2,1,4,1
4247,4,3,1,9,1,1,1,9,2,2,3,2,1,4,3,3,7,99,1,2,2,1,3,1
5047,1,,1,9,2,1,2,2,2,2,3,2,4,4,5,3,5,83,,2,2,1,3,1
582,1,,2,2,1,2,1,1,1,1,1,2,3,1,2,3,3,79,,2,2,1,1,2
3960,9,1,3,1,2,9,9,2,9,3,1,3,4,1,4,9,9,91,,2,2,1,1,2
6039,2,,1,2,1,2,1,1,2,1,2,1,2,2,2,5,8,54,,1,2,1,4,1
